Vote Manager,Vote Cast
Schroder Investment Management Ltd.,Against
Aberdeen Asset Managers Ltd.,Against
Royal London Asset Management Ltd.,Against
California State Teachers' Retirement System,Against
The California Public Employees Retirement System,Against
State Board of Administration of Florida Retirement System,Against
Colorado Public Employees' Retirement Association,Against
Ossiam SA,Against
State Street Global Advisors Ltd.,Against
La Banque Postale Asset Management SA,Against
"Charles Schwab Investment Management, Inc.",Against
Alberta Investment Management Corp.,Against
UniSuper Management Pty Ltd.,Against
Neuberger Berman Investment Advisers LLC,Against
Wellington Management Co. LLP,Against
The Trustee for Aware Super,Against
Fidelity Management & Research Co. LLC,Against
1832 Asset Management LP,Against
